state,Total Cases,New Cases,Total Deaths,New Deaths,Active Cases,Total Cases /1M pop,Deaths /1M pop,Total Tests,Tests /1M pop,Date
US Military,6568,,27, ,4497,,,,,04-28-2020
Iowa,6376,508,136,9,4076,2035,43,39823,"12,713",04-28-2020
Mississippi,6342,248,239,10,6103,2122,80,64412,"21,551",04-28-2020
Wisconsin,6081,,281, ,3487,1052,49,67392,"11,663",04-28-2020
South Carolina,5613,,177, ,1735,1133,36,52145,"10,522",04-28-2020
Nevada,4805,115,219, ,1939,1644,75,47821,"16,361",04-28-2020
Delaware,4575,413,137,12,3342,4818,144,21180,"22,307",04-28-2020
Utah,4233,,41, ,3304,1390,13,100195,"32,901",04-28-2020
Minnesota,4181,365,301,15,1968,756,54,63829,"11,548",04-28-2020
Kentucky,4146,,213, ,2811,934,48,48799,"10,990",04-28-2020
District Of Columbia,3994,102,190,5,3144,5835,278,18885,"27,590",04-28-2020
Oklahoma,3410,130,207,10,943,870,53,53012,"13,530",04-28-2020
Nebraska,3358,,56, ,3280,1763,29,23772,"12,480",04-28-2020
Kansas,3296,,122, ,2671,1133,42,25199,"8,663",04-28-2020
Arkansas,3069,,51, ,1965,1026,17,40629,"13,585",04-28-2020
New Mexico,2823,,104, ,2069,1349,50,58803,"28,103",04-28-2020
Oregon,2354,,92, ,2262,577,23,51198,"12,543",04-28-2020
South Dakota,2245,,11, ,918,2598,13,15596,"18,045",04-28-2020
New Hampshire,1938,,60, ,1080,1442,45,20145,"14,993",04-28-2020
Idaho,1917,,58, ,820,1136,34,19895,"11,787",04-28-2020
Navajo Nation ,1716,,59, ,1657,,,9753,,04-28-2020
Puerto Rico,1400,11,86,2,923,413,25,13022,"3,845",04-28-2020
Federal Prisons,1376,,28, ,834,,,,,04-28-2020
West Virginia,1077,14,37,1,559,589,20,43227,"23,634",04-28-2020
Maine,1040,17,51, ,404,780,38,17807,"13,360",04-28-2020
North Dakota,991,49,19, ,563,1317,25,23723,"31,538",04-28-2020
Vermont,862,7,47, ,815,1379,75,15215,"24,345",04-28-2020
Hawaii,607,,16, ,98,427,11,29247,"20,567",04-28-2020
Wyoming,520,,7, ,170,894,12,8167,"14,037",04-28-2020
Montana,451,2,15,1,80,433,14,13191,"12,663",04-28-2020
Alaska,345,,9, ,118,467,12,16256,"22,012",04-28-2020
Guam,144,2,5, ,10,,,605,,04-28-2020
Grand Princess Ship,103,,3, ,100,,,,,04-28-2020
United States Virgin Islands,59,,4, ,4,,,835,,04-28-2020
Northern Mariana Islands,14,,2, ,0,,,45,,04-28-2020
New York,305086,3636,23474,330,234649,15551,"1,197",872481,"44,472",04-29-2020
New Jersey,116264,2408,6770,328,108223,13090,762,240246,"27,049",04-29-2020
Massachusetts,58302,,3153, ,47031,8536,462,254500,"37,261",04-29-2020
Illinois,48102,,2125, ,45371,3752,166,242189,"18,889",04-29-2020
California ,46506,343,1873,11,41296,1188,48,577608,"14,754",04-29-2020
Pennsylvania,45016,,2195,135,42056,3519,172,209088,"16,346",04-29-2020
Michigan,39262,,3567, ,27353,3943,358,169929,"17,065",04-29-2020
Florida,33193,347,1218,47,31289,1611,59,375300,"18,220",04-29-2020
Louisiana,27660,374,1845,44,8512,5931,396,156568,"33,572",04-29-2020
Texas,27054,883,732,42,14536,970,26,314790,"11,289",04-29-2020
Connecticut,26312,,2089, ,24158,7347,583,92745,"25,896",04-29-2020
Georgia,25274,420,1052,16,24191,2454,102,140223,"13,617",04-29-2020
Maryland,20849,736,1078,62,18508,3473,180,110929,"18,478",04-29-2020
Indiana,17182,594,1065,73,16103,2589,160,91550,"13,793",04-29-2020
Ohio,16769,,799, ,15850,1440,69,122706,"10,540",04-29-2020
Virginia,14961,622,522,30,12397,1778,62,85307,"10,139",04-29-2020
Colorado,14316,,736, ,13021,2588,133,67094,"12,130",04-29-2020
Washington,13842,,786, ,11205,1898,108,182515,"25,021",04-29-2020
North Carolina,10092,353,379,18,8411,994,37,118440,"11,663",04-29-2020
Tennessee,10052,,188, ,4943,1511,28,161928,"24,346",04-29-2020
Rhode Island,8247,321,251,12,7654,7805,238,60165,"56,941",04-29-2020
Veteran Affairs,7481,,461, ,7020,,,95680,,04-29-2020
 Missouri,7376,,327, ,6502,1211,54,73503,"12,069",04-29-2020
Arizona,7202,254,304,11,6828,1037,44,68813,"9,906",04-29-2020
Iowa,6843,467,148,12,4531,2185,47,41337,"13,196",04-29-2020
Alabama,6814,64,245,3,6549,1401,50,77916,"16,017",04-29-2020
US Military,6648,,27, ,4514,,,,,04-29-2020
Mississippi,6569,227,250,11,6319,2198,84,66094,"22,114",04-29-2020
Wisconsin,6289,,300, ,3676,1088,52,69824,"12,084",04-29-2020
South Carolina,5735,,192, ,1842,1157,39,53133,"10,721",04-29-2020
Nevada,4898,93,225, ,2026,1676,77,49475,"16,927",04-29-2020
Delaware,4655,80,144,7,3338,4903,152,21538,"22,684",04-29-2020
Minnesota,4644,463,319,18,2282,840,58,66744,"12,075",04-29-2020
Kentucky,4375,,225, ,3028,985,51,52411,"11,804",04-29-2020
Utah,4343,,45, ,3410,1426,15,102439,"33,638",04-29-2020
District Of Columbia,4106,112,205,15,3241,5999,299,19229,"28,092",04-29-2020
Kansas,3685,108,127, ,3055,1267,44,28090,"9,657",04-29-2020
Oklahoma,3410,,207, ,943,870,53,61619,"15,727",04-29-2020
Nebraska,3374,,55, ,3297,1771,29,23798,"12,494",04-29-2020
