state,candidate,party,votes
Indiana,Biden,DEM,750
Indiana,Jorgensen,LIB,22
Indiana,Trump,REP,6432
Indiana,Biden,DEM,2224
Indiana,Jorgensen,LIB,174
Indiana,Trump,REP,7285
Indiana,Biden,DEM,2419
Indiana,Jorgensen,LIB,198
Indiana,Trump,REP,5398
Indiana,Biden,DEM,1503
Indiana,Jorgensen,LIB,110
Indiana,Trump,REP,5343
Indiana,Biden,DEM,3202
Indiana,Jorgensen,LIB,174
Indiana,Trump,REP,4692
Indiana,Biden,DEM,1415
Indiana,Jorgensen,LIB,113
Indiana,Trump,REP,44899
Indiana,Biden,DEM,39537
Indiana,Jorgensen,LIB,1653
Indiana,Trump,REP,9206
Indiana,Biden,DEM,3811
Indiana,Jorgensen,LIB,214
Indiana,Trump,REP,4246
Indiana,Biden,DEM,1463
Indiana,Jorgensen,LIB,97
Indiana,Trump,REP,12278
Indiana,Biden,DEM,3946
Indiana,Jorgensen,LIB,371
Indiana,Trump,REP,8312
Indiana,Biden,DEM,2512
Indiana,Jorgensen,LIB,243
Indiana,Trump,REP,11261
Indiana,Biden,DEM,2774
Indiana,Jorgensen,LIB,229
Indiana,Trump,REP,6035
Indiana,Biden,DEM,1754
Indiana,Jorgensen,LIB,143
Indiana,Biden,DEM,59870
Indiana,Trump,REP,53152
Indiana,Jorgensen,LIB,1923
Indiana,Trump,REP,7328
Indiana,Biden,DEM,2698
Indiana,Jorgensen,LIB,134
Indiana,Trump,REP,14568
Indiana,Biden,DEM,5023
Indiana,Jorgensen,LIB,400
Indiana,Trump,REP,7354
Indiana,Biden,DEM,3208
Indiana,Jorgensen,LIB,199
Indiana,Trump,REP,7466
Indiana,Biden,DEM,2650
Indiana,Jorgensen,LIB,174
Indiana,Trump,REP,11322
Indiana,Biden,DEM,4509
Indiana,Jorgensen,LIB,312
Indiana,Trump,REP,6687
Indiana,Biden,DEM,2153
Indiana,Jorgensen,LIB,150
Indiana,Trump,REP,3133
Indiana,Biden,DEM,964
Indiana,Jorgensen,LIB,55
Indiana,Biden,DEM,34993
Indiana,Trump,REP,34571
Indiana,Jorgensen,LIB,1831
Indiana,Trump,REP,6110
Indiana,Biden,DEM,1834
Indiana,Jorgensen,LIB,171
Indiana,Trump,REP,2687
Indiana,Biden,DEM,736
Indiana,Jorgensen,LIB,59
Indiana,Trump,REP,41838
Indiana,Biden,DEM,34404
Indiana,Jorgensen,LIB,1321
Indiana,Trump,REP,5184
Indiana,Biden,DEM,2145
Indiana,Jorgensen,LIB,151
Indiana,Trump,REP,24512
Indiana,Biden,DEM,18080
Indiana,Jorgensen,LIB,897
Indiana,Trump,REP,10762
Indiana,Biden,DEM,3494
Indiana,Jorgensen,LIB,317
Indiana,Trump,REP,3401
Indiana,Biden,DEM,974
Indiana,Jorgensen,LIB,96
Indiana,Trump,REP,21324
Indiana,Biden,DEM,11919
Indiana,Jorgensen,LIB,557
Indiana,Trump,REP,9112
Indiana,Biden,DEM,2783
Indiana,Jorgensen,LIB,231
Indiana,Trump,REP,17567
Indiana,Biden,DEM,9524
Indiana,Jorgensen,LIB,571
Indiana,Trump,REP,10855
Indiana,Biden,DEM,2928
Indiana,Jorgensen,LIB,261
Indiana,Trump,REP,7353
Indiana,Biden,DEM,2868
Indiana,Jorgensen,LIB,155
Indiana,Trump,REP,12856
Indiana,Biden,DEM,4233
Indiana,Jorgensen,LIB,453
Iowa,Trump,REP,2917
Iowa,Biden,DEM,1197
Iowa,Jorgensen,LIB,35
Iowa,Kanye West,IND,7
Iowa,Fuente,ALI,6
Iowa,Blankenship,CST,4
Iowa,Hawkins,GRN,4
Iowa,Trump,REP,1528
Iowa,Biden,DEM,590
Iowa,Jorgensen,LIB,27
Iowa,Blankenship,CST,3
Iowa,Fuente,ALI,2
Iowa,Kanye West,IND,2
Iowa,Hawkins,GRN,1
Iowa,Trump,REP,4733
Iowa,Biden,DEM,2575
Iowa,Jorgensen,LIB,71
Iowa,Blankenship,CST,12
Iowa,Kanye West,IND,5
Iowa,Fuente,ALI,4
Iowa,Hawkins,GRN,4
Iowa,Trump,REP,4508
Iowa,Biden,DEM,1889
Iowa,Jorgensen,LIB,72
Iowa,Hawkins,GRN,9
Iowa,Kanye West,IND,6
Iowa,Blankenship,CST,5
Iowa,Fuente,ALI,2
Iowa,Trump,REP,2292
Iowa,Biden,DEM,1071
Iowa,Jorgensen,LIB,32
Iowa,Hawkins,GRN,7
Iowa,Blankenship,CST,5
Iowa,Kanye West,IND,2
Iowa,Fuente,ALI,1
Iowa,Trump,REP,9179
Iowa,Biden,DEM,5156
Iowa,Jorgensen,LIB,185
Iowa,Hawkins,GRN,28
Iowa,Blankenship,CST,21
Iowa,Kanye West,IND,19
Iowa,Fuente,ALI,13
Iowa,Biden,DEM,35621
Iowa,Trump,REP,29623
Iowa,Jorgensen,LIB,721
Iowa,Kanye West,IND,146
Iowa,Hawkins,GRN,103
Iowa,Blankenship,CST,67
Iowa,Fuente,ALI,54
Iowa,Trump,REP,8676
Iowa,Biden,DEM,6293
Iowa,Jorgensen,LIB,198
Iowa,Kanye West,IND,34
Iowa,Hawkins,GRN,24
Iowa,Blankenship,CST,19
Iowa,Fuente,ALI,15
Iowa,Trump,REP,8287
Iowa,Biden,DEM,5954
Iowa,Jorgensen,LIB,185
Iowa,Hawkins,GRN,24
Iowa,Blankenship,CST,19
Iowa,Kanye West,IND,19
Iowa,Fuente,ALI,8
Iowa,Trump,REP,6418
Iowa,Biden,DEM,4167
Iowa,Jorgensen,LIB,95
Iowa,Kanye West,IND,22
Iowa,Hawkins,GRN,20
Iowa,Blankenship,CST,19
Iowa,Fuente,ALI,14
Iowa,Trump,REP,5004
Iowa,Biden,DEM,2919
Iowa,Jorgensen,LIB,65
Iowa,Kanye West,IND,20
Iowa,Blankenship,CST,15
Iowa,Fuente,ALI,15
Iowa,Hawkins,GRN,10
Iowa,Trump,REP,5540
Iowa,Biden,DEM,2423
Iowa,Jorgensen,LIB,68
Iowa,Hawkins,GRN,14
Iowa,Kanye West,IND,13
Iowa,Blankenship,CST,8
Iowa,Fuente,ALI,4
Iowa,Trump,REP,3687
Iowa,Biden,DEM,1469
Iowa,Jorgensen,LIB,59
Iowa,Kanye West,IND,10
Iowa,Blankenship,CST,8
Iowa,Fuente,ALI,5
Iowa,Hawkins,GRN,3
Iowa,Trump,REP,7720
Iowa,Biden,DEM,3444
Iowa,Jorgensen,LIB,66
Iowa,Kanye West,IND,15
Iowa,Hawkins,GRN,13
Iowa,Fuente,ALI,9
Iowa,Blankenship,CST,8
Iowa,Trump,REP,4969
Iowa,Biden,DEM,2201
Iowa,Jorgensen,LIB,61
Iowa,Kanye West,IND,12
Iowa,Blankenship,CST,10
Iowa,Hawkins,GRN,8
Iowa,Fuente,ALI,3
Iowa,Trump,REP,6161
Iowa,Biden,DEM,4336
Iowa,Jorgensen,LIB,124
Iowa,Hawkins,GRN,22
Iowa,Blankenship,CST,14
Iowa,Kanye West,IND,12
Iowa,Fuente,ALI,6
Iowa,Trump,REP,12435
Iowa,Biden,DEM,10941
Iowa,Jorgensen,LIB,196
Iowa,Kanye West,IND,48
Iowa,Hawkins,GRN,42
Iowa,Fuente,ALI,36
Iowa,Blankenship,CST,25
Iowa,Trump,REP,4495
Iowa,Biden,DEM,1936
Iowa,Jorgensen,LIB,48
Iowa,Kanye West,IND,8
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,6
Iowa,Hawkins,GRN,3
Iowa,Trump,REP,4299
Iowa,Biden,DEM,2230
Iowa,Jorgensen,LIB,47
Iowa,Hawkins,GRN,10
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,6
Iowa,Kanye West,IND,2
Iowa,Trump,REP,3140
Iowa,Biden,DEM,1466
Iowa,Jorgensen,LIB,34
Iowa,Kanye West,IND,8
Iowa,Blankenship,CST,3
Iowa,Hawkins,GRN,3
Iowa,Fuente,ALI,1
Iowa,Trump,REP,6126
Iowa,Biden,DEM,2653
Iowa,Jorgensen,LIB,101
Iowa,Kanye West,IND,19
Iowa,Blankenship,CST,11
Iowa,Hawkins,GRN,8
Iowa,Fuente,ALI,5
Iowa,Trump,REP,6105
Iowa,Biden,DEM,3339
Iowa,Jorgensen,LIB,82
Iowa,Hawkins,GRN,18
Iowa,Kanye West,IND,14
Iowa,Blankenship,CST,10
Iowa,Fuente,ALI,5
Iowa,Trump,REP,13349
Iowa,Biden,DEM,10806
Iowa,Jorgensen,LIB,314
Iowa,Hawkins,GRN,47
Iowa,Kanye West,IND,47
Iowa,Blankenship,CST,36
Iowa,Fuente,ALI,6
Iowa,Trump,REP,4842
Iowa,Biden,DEM,2211
Iowa,Jorgensen,LIB,42
Iowa,Kanye West,IND,9
Iowa,Hawkins,GRN,8
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,2
Iowa,Trump,REP,27882
Iowa,Biden,DEM,26771
Iowa,Jorgensen,LIB,739
Iowa,Kanye West,IND,86
Iowa,Hawkins,GRN,57
Iowa,Fuente,ALI,38
Iowa,Blankenship,CST,27
Iowa,Trump,REP,3032
Iowa,Biden,DEM,1013
Iowa,Jorgensen,LIB,30
Iowa,Kanye West,IND,8
Iowa,Hawkins,GRN,5
Iowa,Blankenship,CST,4
Iowa,Fuente,ALI,2
Iowa,Trump,REP,2613
Iowa,Biden,DEM,1117
Iowa,Jorgensen,LIB,28
Iowa,Hawkins,GRN,11
Iowa,Kanye West,IND,11
Iowa,Fuente,ALI,6
Iowa,Blankenship,CST,3
Iowa,Trump,REP,6666
Iowa,Biden,DEM,3157
Iowa,Jorgensen,LIB,87
Iowa,Blankenship,CST,17
Iowa,Kanye West,IND,17
Iowa,Hawkins,GRN,15
Iowa,Fuente,ALI,7
Iowa,Trump,REP,10589
Iowa,Biden,DEM,8887
Iowa,Jorgensen,LIB,275
Iowa,Hawkins,GRN,52
Iowa,Kanye West,IND,44
Iowa,Blankenship,CST,16
Iowa,Fuente,ALI,14
Iowa,Trump,REP,7432
Iowa,Biden,DEM,3660
Iowa,Jorgensen,LIB,92
Iowa,Blankenship,CST,8
Iowa,Hawkins,GRN,8
Iowa,Fuente,ALI,7
Iowa,Kanye West,IND,6
Iowa,Trump,REP,27214
Iowa,Biden,DEM,25655
Iowa,Jorgensen,LIB,556
Iowa,Hawkins,GRN,125
Iowa,Kanye West,IND,115
Iowa,Blankenship,CST,58
Iowa,Fuente,ALI,30
Iowa,Trump,REP,3265
Iowa,Biden,DEM,1520
Iowa,Jorgensen,LIB,36
Iowa,Hawkins,GRN,12
Iowa,Kanye West,IND,6
Iowa,Blankenship,CST,5
Iowa,Fuente,ALI,3
Iowa,Trump,REP,6145
Iowa,Biden,DEM,3834
Iowa,Jorgensen,LIB,102
Iowa,Hawkins,GRN,26
Iowa,Blankenship,CST,16
Iowa,Kanye West,IND,16
Iowa,Fuente,ALI,10
Iowa,Trump,REP,4730
Iowa,Biden,DEM,3168
Iowa,Jorgensen,LIB,63
Iowa,Blankenship,CST,12
Iowa,Kanye West,IND,12
Iowa,Hawkins,GRN,10
Iowa,Fuente,ALI,7
Iowa,Trump,REP,3420
Iowa,Biden,DEM,1625
Iowa,Jorgensen,LIB,45
Iowa,Fuente,ALI,8
Iowa,Blankenship,CST,6
Iowa,Hawkins,GRN,5
Iowa,Kanye West,IND,3
Iowa,Trump,REP,2711
Iowa,Biden,DEM,1078
Iowa,Jorgensen,LIB,37
Iowa,Kanye West,IND,10
Iowa,Hawkins,GRN,6
Iowa,Blankenship,CST,5
Iowa,Fuente,ALI,0
Iowa,Trump,REP,3221
Iowa,Biden,DEM,1768
Iowa,Jorgensen,LIB,36
Iowa,Blankenship,CST,5
Iowa,Kanye West,IND,5
Iowa,Fuente,ALI,4
Iowa,Hawkins,GRN,4
Iowa,Trump,REP,4911
Iowa,Biden,DEM,2194
Iowa,Jorgensen,LIB,87
Iowa,Hawkins,GRN,12
Iowa,Blankenship,CST,7
Iowa,Kanye West,IND,7
Iowa,Fuente,ALI,0
Iowa,Trump,REP,4272
Iowa,Biden,DEM,1985
Iowa,Jorgensen,LIB,78
Iowa,Kanye West,IND,11
Iowa,Hawkins,GRN,7
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,1
Iowa,Trump,REP,4956
Iowa,Biden,DEM,2842
Iowa,Blankenship,CST,606
Iowa,Jorgensen,LIB,71
Iowa,Kanye West,IND,11
Iowa,Fuente,ALI,7
Iowa,Hawkins,GRN,7
Iowa,Trump,REP,4386
Iowa,Biden,DEM,1682
Iowa,Jorgensen,LIB,49
Iowa,Kanye West,IND,10
Iowa,Blankenship,CST,9
Iowa,Fuente,ALI,8
Iowa,Hawkins,GRN,7
Iowa,Trump,REP,5842
Iowa,Biden,DEM,2971
Iowa,Jorgensen,LIB,105
Iowa,Kanye West,IND,12
Iowa,Hawkins,GRN,11
Iowa,Blankenship,CST,10
Iowa,Fuente,ALI,5
Iowa,Trump,REP,5563
Iowa,Biden,DEM,2439
Iowa,Jorgensen,LIB,85
Iowa,Kanye West,IND,19
Iowa,Blankenship,CST,10
Iowa,Hawkins,GRN,9
Iowa,Fuente,ALI,6
Iowa,Trump,REP,6483
Iowa,Biden,DEM,3264
Iowa,Jorgensen,LIB,128
Iowa,Hawkins,GRN,15
Iowa,Kanye West,IND,13
Iowa,Blankenship,CST,8
Iowa,Fuente,ALI,7
Iowa,Trump,REP,3126
Iowa,Biden,DEM,1772
Iowa,Jorgensen,LIB,23
Iowa,Kanye West,IND,11
Iowa,Hawkins,GRN,10
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,1
Iowa,Trump,REP,3818
Iowa,Biden,DEM,1442
Iowa,Jorgensen,LIB,39
Iowa,Kanye West,IND,7
Iowa,Blankenship,CST,6
Iowa,Hawkins,GRN,4
Iowa,Fuente,ALI,3
Iowa,Trump,REP,2876
Iowa,Biden,DEM,917
Iowa,Jorgensen,LIB,27
Iowa,Blankenship,CST,10
Iowa,Hawkins,GRN,6
Iowa,Kanye West,IND,3
Iowa,Fuente,ALI,0
Iowa,Trump,REP,6009
Iowa,Biden,DEM,3546
Iowa,Jorgensen,LIB,102
Iowa,Kanye West,IND,19
Iowa,Hawkins,GRN,15
Iowa,Blankenship,CST,11
Iowa,Fuente,ALI,9
Iowa,Trump,REP,6940
Iowa,Biden,DEM,4029
Iowa,Jorgensen,LIB,79
Iowa,Kanye West,IND,26
Iowa,Hawkins,GRN,13
Iowa,Fuente,ALI,12
Iowa,Blankenship,CST,9
Iowa,Trump,REP,12082
Iowa,Biden,DEM,7732
Iowa,Jorgensen,LIB,207
Iowa,Kanye West,IND,31
Iowa,Hawkins,GRN,30
Iowa,Blankenship,CST,28
Iowa,Fuente,ALI,11
Iowa,Trump,REP,4442
Iowa,Biden,DEM,4314
Iowa,Jorgensen,LIB,94
Iowa,Hawkins,GRN,32
Iowa,Kanye West,IND,20
Iowa,Blankenship,CST,7
Iowa,Fuente,ALI,5
Iowa,Biden,DEM,59147
Iowa,Trump,REP,22918
Iowa,Jorgensen,LIB,964
Iowa,Hawkins,GRN,213
Iowa,Kanye West,IND,170
Iowa,Blankenship,CST,62
Iowa,Fuente,ALI,22
Iowa,Trump,REP,6569
Iowa,Biden,DEM,4211
Iowa,Jorgensen,LIB,117
Iowa,Kanye West,IND,20
Iowa,Hawkins,GRN,15
Iowa,Blankenship,CST,12
Iowa,Fuente,ALI,7
Iowa,Trump,REP,3785
Iowa,Biden,DEM,1409
Iowa,Jorgensen,LIB,50
Iowa,Blankenship,CST,10
Iowa,Fuente,ALI,7
Iowa,Kanye West,IND,6
Iowa,Hawkins,GRN,2
Iowa,Trump,REP,6244
Iowa,Biden,DEM,2681
Iowa,Jorgensen,LIB,60
Iowa,Kanye West,IND,15
Iowa,Blankenship,CST,10
Iowa,Hawkins,GRN,10
Iowa,Fuente,ALI,4
Iowa,Trump,REP,9763
Iowa,Biden,DEM,6539
Iowa,Jorgensen,LIB,239
Iowa,Kanye West,IND,38
Iowa,Hawkins,GRN,34
Iowa,Blankenship,CST,31
Iowa,Fuente,ALI,8
Iowa,Biden,DEM,70451
Iowa,Trump,REP,53098
Iowa,Jorgensen,LIB,1988
Iowa,Hawkins,GRN,321
Iowa,Kanye West,IND,259
Iowa,Blankenship,CST,113
Iowa,Fuente,ALI,45
Iowa,Trump,REP,3500
Iowa,Biden,DEM,1726
Iowa,Jorgensen,LIB,67
Iowa,Kanye West,IND,12
Iowa,Blankenship,CST,5
Iowa,Hawkins,GRN,5
Iowa,Fuente,ALI,3
Iowa,Trump,REP,2981
Iowa,Biden,DEM,1220
Iowa,Jorgensen,LIB,35
Iowa,Hawkins,GRN,13
Iowa,Kanye West,IND,10
Iowa,Blankenship,CST,9
Iowa,Fuente,ALI,5
Iowa,Trump,REP,5703
Iowa,Biden,DEM,1065
Iowa,Jorgensen,LIB,56
Iowa,Kanye West,IND,11
Iowa,Hawkins,GRN,6
Iowa,Blankenship,CST,4
Iowa,Fuente,ALI,1
Iowa,Trump,REP,6486
Iowa,Biden,DEM,3126
Iowa,Jorgensen,LIB,124
Iowa,Hawkins,GRN,12
Iowa,Kanye West,IND,9
Iowa,Fuente,ALI,7
Iowa,Blankenship,CST,6
Iowa,Trump,REP,8256
Iowa,Biden,DEM,2879
Iowa,Jorgensen,LIB,131
Iowa,Kanye West,IND,19
Iowa,Hawkins,GRN,13
Iowa,Blankenship,CST,10
Iowa,Fuente,ALI,8
Iowa,Trump,REP,12657
Iowa,Biden,DEM,6170
Iowa,Jorgensen,LIB,233
Iowa,Kanye West,IND,30
Iowa,Blankenship,CST,24
Iowa,Hawkins,GRN,24
Iowa,Fuente,ALI,10
Iowa,Trump,REP,9564
Iowa,Biden,DEM,8171
Iowa,Jorgensen,LIB,215
Iowa,Kanye West,IND,48
Iowa,Hawkins,GRN,31
Iowa,Blankenship,CST,22
Iowa,Fuente,ALI,17
Iowa,Trump,REP,5572
Iowa,Biden,DEM,2500
Iowa,Jorgensen,LIB,100
Iowa,Kanye West,IND,16
Iowa,Hawkins,GRN,12
Iowa,Blankenship,CST,7
Iowa,Fuente,ALI,7
Iowa,Trump,REP,3665
Iowa,Biden,DEM,2048
Iowa,Jorgensen,LIB,55
Iowa,Hawkins,GRN,9
Iowa,Blankenship,CST,6
Iowa,Kanye West,IND,6
Iowa,Fuente,ALI,3
Iowa,Trump,REP,3234
Iowa,Biden,DEM,1402
Iowa,Jorgensen,LIB,36
Iowa,Kanye West,IND,9
Iowa,Blankenship,CST,5
Iowa,Fuente,ALI,3
Iowa,Hawkins,GRN,3
Iowa,Trump,REP,2975
Iowa,Biden,DEM,1078
Iowa,Jorgensen,LIB,21
Iowa,Kanye West,IND,5
Iowa,Hawkins,GRN,3
Iowa,Fuente,ALI,2
Iowa,Blankenship,CST,0
Iowa,Trump,REP,3653
Iowa,Biden,DEM,1583
Iowa,Jorgensen,LIB,49
Iowa,Blankenship,CST,9
Iowa,Kanye West,IND,7
Iowa,Hawkins,GRN,6
Iowa,Fuente,ALI,3
Iowa,Trump,REP,10823
Iowa,Biden,DEM,9372
Iowa,Jorgensen,LIB,293
Iowa,Hawkins,GRN,57
Iowa,Kanye West,IND,37
Iowa,Blankenship,CST,21
Iowa,Fuente,ALI,8
Iowa,Trump,REP,5857
Iowa,Biden,DEM,1567
Iowa,Jorgensen,LIB,77
Iowa,Kanye West,IND,9
Iowa,Blankenship,CST,7
Iowa,Fuente,ALI,6
Iowa,Hawkins,GRN,6
Iowa,Trump,REP,2688
Iowa,Biden,DEM,600
Iowa,Jorgensen,LIB,18
Iowa,Kanye West,IND,5
Iowa,Hawkins,GRN,4
Iowa,Blankenship,CST,2
Iowa,Fuente,ALI,1
Iowa,Trump,REP,5314
Iowa,Biden,DEM,2081
Iowa,Jorgensen,LIB,76
Iowa,Kanye West,IND,12
Iowa,Hawkins,GRN,10
Iowa,Fuente,ALI,8
Iowa,Blankenship,CST,7
Iowa,Trump,REP,3369
Iowa,Biden,DEM,1518
Iowa,Jorgensen,LIB,43
Iowa,Hawkins,GRN,8
Iowa,Kanye West,IND,5
Iowa,Blankenship,CST,3
Iowa,Fuente,ALI,0
Iowa,Trump,REP,10472
Iowa,Biden,DEM,3483
Iowa,Jorgensen,LIB,112
Iowa,Kanye West,IND,24
Iowa,Fuente,ALI,13
Iowa,Hawkins,GRN,13
Iowa,Blankenship,CST,7
Iowa,Trump,REP,2825
Iowa,Biden,DEM,932
Iowa,Jorgensen,LIB,37
Iowa,Blankenship,CST,8
Iowa,Kanye West,IND,6
Iowa,Hawkins,GRN,2
Iowa,Fuente,ALI,0
Iowa,Biden,DEM,146173
Iowa,Trump,REP,106752
Iowa,Jorgensen,LIB,3316
Iowa,Kanye West,IND,561
Iowa,Hawkins,GRN,486
Iowa,Fuente,ALI,213
Iowa,Blankenship,CST,199
Iowa,Trump,REP,26241
Iowa,Biden,DEM,18570
Iowa,Jorgensen,LIB,552
Iowa,Hawkins,GRN,93
Iowa,Kanye West,IND,81
Iowa,Blankenship,CST,56
Iowa,Fuente,ALI,10
Iowa,Trump,REP,5645
Iowa,Biden,DEM,4301
Iowa,Jorgensen,LIB,90
Iowa,Hawkins,GRN,26
Iowa,Blankenship,CST,17
Iowa,Kanye West,IND,14
Iowa,Fuente,ALI,4
Iowa,Trump,REP,1964
Iowa,Biden,DEM,708
Iowa,Jorgensen,LIB,18
Iowa,Blankenship,CST,5
Iowa,Kanye West,IND,3
Iowa,Hawkins,GRN,2
Iowa,Fuente,ALI,0
Iowa,Trump,REP,4052
Iowa,Biden,DEM,1383
Iowa,Jorgensen,LIB,47
Iowa,Kanye West,IND,10
Iowa,Blankenship,CST,9
Iowa,Hawkins,GRN,6
Iowa,Fuente,ALI,2
Iowa,Biden,DEM,46890
Iowa,Trump,REP,43661
Iowa,Jorgensen,LIB,1222
Iowa,Hawkins,GRN,209
Iowa,Kanye West,IND,181
Iowa,Blankenship,CST,96
Iowa,Fuente,ALI,51
Iowa,Trump,REP,4697
Iowa,Biden,DEM,1959
Iowa,Jorgensen,LIB,83
Iowa,Blankenship,CST,12
Iowa,Kanye West,IND,9
Iowa,Hawkins,GRN,7
Iowa,Fuente,ALI,3
Iowa,Trump,REP,15669
Iowa,Biden,DEM,3017
Iowa,Jorgensen,LIB,170
Iowa,Kanye West,IND,27
Iowa,Hawkins,GRN,23
Iowa,Blankenship,CST,21
Iowa,Fuente,ALI,9
Iowa,Biden,DEM,28975
Iowa,Trump,REP,20200
Iowa,Jorgensen,LIB,904
Iowa,Hawkins,GRN,144
Iowa,Kanye West,IND,132
Iowa,Blankenship,CST,51
Iowa,Fuente,ALI,35
Iowa,Trump,REP,5299
Iowa,Biden,DEM,3573
Iowa,Jorgensen,LIB,87
Iowa,Kanye West,IND,20
Iowa,Hawkins,GRN,19
Iowa,Blankenship,CST,12
Iowa,Fuente,ALI,2
Iowa,Trump,REP,2459
Iowa,Biden,DEM,745
Iowa,Jorgensen,LIB,17
Iowa,Kanye West,IND,10
Iowa,Blankenship,CST,2
Iowa,Fuente,ALI,1
Iowa,Hawkins,GRN,1
Iowa,Trump,REP,4000
Iowa,Biden,DEM,2049
Iowa,Jorgensen,LIB,61
Iowa,Kanye West,IND,11
Iowa,Hawkins,GRN,10
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,6
Iowa,Trump,REP,2867
Iowa,Biden,DEM,874
Iowa,Jorgensen,LIB,23
Iowa,Kanye West,IND,7
Iowa,Hawkins,GRN,6
Iowa,Blankenship,CST,5
Iowa,Fuente,ALI,2
Iowa,Trump,REP,9504
Iowa,Biden,DEM,5818
Iowa,Jorgensen,LIB,197
Iowa,Kanye West,IND,26
Iowa,Hawkins,GRN,22
Iowa,Blankenship,CST,14
Iowa,Fuente,ALI,6
Iowa,Trump,REP,17738
Iowa,Biden,DEM,12537
Iowa,Jorgensen,LIB,427
Iowa,Hawkins,GRN,51
Iowa,Kanye West,IND,47
Iowa,Blankenship,CST,30
Iowa,Fuente,ALI,27
Iowa,Trump,REP,6966
Iowa,Biden,DEM,4558
Iowa,Jorgensen,LIB,144
Iowa,Kanye West,IND,24
Iowa,Hawkins,GRN,21
Iowa,Blankenship,CST,13
Iowa,Fuente,ALI,6
Iowa,Trump,REP,2338
Iowa,Biden,DEM,727
Iowa,Jorgensen,LIB,20
Iowa,Kanye West,IND,6
Iowa,Blankenship,CST,5
Iowa,Hawkins,GRN,3
Iowa,Fuente,ALI,2
Iowa,Trump,REP,10927
Iowa,Biden,DEM,6604
Iowa,Jorgensen,LIB,128
Iowa,Kanye West,IND,56
Iowa,Hawkins,GRN,26
Iowa,Fuente,ALI,10
Iowa,Blankenship,CST,9
Iowa,Trump,REP,3692
Iowa,Biden,DEM,2123
Iowa,Jorgensen,LIB,72
Iowa,Kanye West,IND,15
Iowa,Hawkins,GRN,8
Iowa,Blankenship,CST,6
Iowa,Fuente,ALI,3
Iowa,Trump,REP,6234
Iowa,Biden,DEM,5616
Iowa,Jorgensen,LIB,112
Iowa,Hawkins,GRN,21
Iowa,Kanye West,IND,19
Iowa,Blankenship,CST,15
Iowa,Fuente,ALI,6
Iowa,Trump,REP,25700
Iowa,Biden,DEM,18683
Iowa,Jorgensen,LIB,434
Iowa,Hawkins,GRN,96
Iowa,Kanye West,IND,84
Iowa,Blankenship,CST,55
Iowa,Fuente,ALI,33
Iowa,Trump,REP,2732
Iowa,Biden,DEM,1593
Iowa,Jorgensen,LIB,38
Iowa,Kanye West,IND,14
Iowa,Blankenship,CST,8
Iowa,Fuente,ALI,8
Iowa,Hawkins,GRN,7
Iowa,Trump,REP,4135
Iowa,Biden,DEM,1995
Iowa,Jorgensen,LIB,70
Iowa,Kanye West,IND,19
Iowa,Hawkins,GRN,6
Iowa,Fuente,ALI,5
Iowa,Blankenship,CST,2
Kansas,Trump,REP,5486
Kansas,Biden,DEM,1836
Kansas,Jorgensen,LIB,136
Kansas,Trump,REP,2874
Kansas,Biden,DEM,765
Kansas,Jorgensen,LIB,81
Kansas,Trump,REP,4826
Kansas,Biden,DEM,2314
Kansas,Jorgensen,LIB,172
Kansas,Trump,REP,1992
Kansas,Biden,DEM,284
Kansas,Jorgensen,LIB,37
Kansas,Trump,REP,8480
Kansas,Biden,DEM,2302
Kansas,Jorgensen,LIB,179
Kansas,Trump,REP,4906
Kansas,Biden,DEM,1504
Kansas,Jorgensen,LIB,110
Kansas,Trump,REP,3206
Kansas,Biden,DEM,1088
Kansas,Jorgensen,LIB,102
Kansas,Trump,REP,22250
Kansas,Biden,DEM,9003
Kansas,Jorgensen,LIB,693
Kansas,Trump,REP,1114
Kansas,Biden,DEM,341
Kansas,Jorgensen,LIB,23
Kansas,Trump,REP,1397
Kansas,Biden,DEM,212
Kansas,Jorgensen,LIB,25
Kansas,Trump,REP,6622
Kansas,Biden,DEM,2163
Kansas,Jorgensen,LIB,160
Kansas,Trump,REP,1158
Kansas,Biden,DEM,220
Kansas,Jorgensen,LIB,22
Kansas,Trump,REP,885
Kansas,Biden,DEM,143
Kansas,Jorgensen,LIB,20
Kansas,Trump,REP,3120
Kansas,Biden,DEM,879
Kansas,Jorgensen,LIB,108
Kansas,Trump,REP,3182
Kansas,Biden,DEM,893
Kansas,Jorgensen,LIB,99
Kansas,Trump,REP,3403
Kansas,Biden,DEM,926
Kansas,Jorgensen,LIB,105
Kansas,Trump,REP,743
Kansas,Biden,DEM,124
Kansas,Jorgensen,LIB,28
Kansas,Trump,REP,9442
Kansas,Biden,DEM,4171
Kansas,Jorgensen,LIB,298
Kansas,Trump,REP,9752
Kansas,Biden,DEM,5971
Kansas,Jorgensen,LIB,402
Kansas,Trump,REP,1232
Kansas,Biden,DEM,208
Kansas,Jorgensen,LIB,18
Kansas,Trump,REP,7045
Kansas,Biden,DEM,2040
