broken year,industry,location,funded status,survival time,cause of failure
2019,Health,Beijing,Angel Round,1417,no business model
2019,Finance,Zhejiang,Series A+,1627,supervision
2019,E-Commerce,Hunan,Public,1864,lose focus
2019,Finance,Shanghai,Series B,1645,legal challenges
2018,Finance,Beijing,No Funding,1825,pivot gone bad
2018,E-Commerce,Beijing,Angel Round,1552,no market need
2018,Local Business,Guangdong,Angel Round,1825,no business model
2018,Finance,Sichuan,Angel Round,1552,supervision
2018,Local Business,Overseas,Pre-A Round,1521,no market need
2018,E-Commerce,Beijing,Series B,1825,ran out of cash
2018,Local Business,Beijing,Pre-A Round,1491,lose focus
2018,Entertainment,Shanghai,Pre-A Round,1825,ran out of cash
2018,Health,Beijing,No Funding,1613,lose focus
2018,Education,Beijing,Angel Round,1613,lose focus
2018,Marketing,Shaanxi,No Funding,1644,no investor interest
2018,Enterprise Service,Sichuan,Angel Round,1552,get outcompeted
2018,Transportation,Shanghai,Angel Round,1582,burn out
2018,Marketing,Beijing,Angel Round,1674,no investor interest
2018,Health,Zhejiang,Series A,1491,burn out
2018,E-Commerce,Guangdong,No Funding,1735,no investor interest
2018,Education,Beijing,Angel Round,1825,ran out of cash
2018,Transportation,Beijing,Angel Round,1491,product mistimed
2018,E-Commerce,Zhejiang,Angel Round,1794,lose focus
2018,Travel,Shanghai,Series A,1552,product mistimed
2018,Sports,Beijing,Angel Round,1582,no investor interest
2018,Tool,Fujian,No Funding,1825,no investor interest
2018,Logistics,Guangdong,Series A,1825,founder
2018,Sports,Guangdong,Angel Round,1766,product mistimed
2018,Enterprise Service,Beijing,Series A,1613,no business model
2018,Game,Beijing,Angel Round,1825,get outcompeted
2018,Enterprise Service,Beijing,Series A,1613,no business model
2018,Logistics,Shanghai,Series A,1613,no investor interest
2018,Transportation,Shandong,Angel Round,1491,no market need
2018,Education,Beijing,Angel Round,1674,ran out of cash
2018,Entertainment,Guangdong,Series A+,1613,product mistimed
2018,Local Business,Guangdong,Series A,1644,pivot gone bad
2018,Social Media,Beijing,Series A,1582,no business model
2018,Local Business,Jiangsu,No Funding,1735,get outcompeted
2018,Social Media,Beijing,Angel Round,1613,no business model
2018,Local Business,Beijing,Acquired,1491,product mistimed
2018,Finance,Shanghai,No Funding,1644,supervision
2018,Logistics,Shanghai,No Funding,1613,no business model
2018,Social Media,Shanghai,No Funding,1491,no market need
2018,Transportation,Guangdong,Angel Round,1491,no market need
2018,E-Commerce,Beijing,No Funding,1825,lose focus
2018,Local Business,Shanghai,Angel Round,1674,no market need
2018,E-Commerce,Zhejiang,Series A,1613,no business model
2018,E-Commerce,Guangdong,Series A,1552,pivot gone bad
2018,Social Media,Beijing,Angel Round,1825,no market need
2018,Entertainment,Overseas,Seed Round,1613,poor product
2018,Local Business,Shanghai,Angel Round,1521,product mistimed
2018,Enterprise Service,Sichuan,No Funding,1613,no business model
2018,Finance,Zhejiang,No Funding,1825,supervision
2018,Real Estate,Beijing,Series A,1674,no business model
2018,Game,Shanghai,Angel Round,1674,ran out of cash
2018,Local Business,Guangdong,No Funding,1644,pricing/cost issue
2018,Hardware,Guangdong,No Funding,1644,ran out of cash
2018,E-Commerce,Zhejiang,No Funding,1674,get outcompeted
2018,Entertainment,Beijing,Angel Round,1491,product mistimed
2018,Hardware,Guangdong,Angel Round,1735,no market need
2018,Entertainment,Beijing,No Funding,1825,no business model
2018,Local Business,Beijing,Angel Round,1521,pivot gone bad
2018,Transportation,Beijing,Angel Round,1735,poor product
2018,Social Media,Guangdong,Series A,1644,product mistimed
2018,Local Business,Beijing,Angel Round,1674,no business model
2018,Game,Overseas,Series A,1825,not the right team
2018,Transportation,Jiangsu,No Funding,2070,no business model
2018,Travel,Beijing,Angel Round,1644,no market need
2018,Health,Guangdong,No Funding,1552,no business model
2018,Sports,Beijing,Angel Round,1491,no market need
2018,Enterprise Service,Anhui,No Funding,1766,no investor interest
2018,Transportation,Overseas,Acquired,1735,lose focus
2018,Marketing,Jiangsu,Angel Round,1766,no business model
2018,Sports,Beijing,No Funding,1582,no business model
2018,Social Media,Guangdong,Angel Round,1491,no market need
2018,Education,Zhejiang,Series A,1644,ran out of cash
2018,Education,Shanghai,Series C,1491,ran out of cash
2018,Enterprise Service,Beijing,Angel Round,1552,get outcompeted
2018,Transportation,Beijing,Angel Round,1735,burn out
2018,E-Commerce,Guangdong,Angel Round,1674,no market need
2018,Social Media,Liaoning,Angel Round,1521,no business model
2018,Social Media,Shanghai,Angel Round,1794,no business model
2018,Transportation,Beijing,Series A+,1766,burn out
2018,E-Commerce,Guangdong,Series A,1552,team/investors
2018,E-Commerce,Shanghai,No Funding,1521,no business model
2018,Entertainment,Beijing,Series A,1674,no business model
2018,Local Business,Beijing,Angel Round,1644,product mistimed
2018,Local Business,Beijing,Series A,1766,burn out
2018,Enterprise Service,Shanghai,Series A,1582,get outcompeted
2018,Enterprise Service,Tianjin,Angel Round,1521,product mistimed
2018,Transportation,Beijing,Angel Round,1825,no market need
2018,Game,Shanghai,Angel Round,1491,ran out of cash
2018,E-Commerce,Guangdong,No Funding,1613,pricing/cost issue
2018,Sports,Beijing,Angel Round,1552,no market need
2018,Enterprise Service,Jiangsu,No Funding,1705,no investor interest
2018,Local Business,Guangdong,Angel Round,1766,no market need
2018,Logistics,Overseas,Seed Round,1521,product mistimed
2018,Transportation,Beijing,Series A,1766,burn out
2018,Tool,Shanghai,Angel Round,1674,no market need
2018,Finance,Shanghai,Angel Round,1825,ran out of cash
2018,Transportation,Beijing,No Funding,1856,no business model
2018,Social Media,Fujian,Angel Round,1644,no market need
2018,Local Business,Zhejiang,Angel Round,1491,no market need
2018,Enterprise Service,Beijing,Seed Round,1674,no market need
2018,Education,Zhejiang,Angel Round,1644,no market need
2018,Hardware,Jiangsu,No Funding,1521,pricing/cost issue
2018,Sports,Guangdong,Pre-A Round,1825,ran out of cash
2018,Tool,Sichuan,Pre-A Round,1521,no market need
2018,Enterprise Service,Beijing,No Funding,1735,ignore customers
2018,Social Media,Hubei,No Funding,1735,no market need
2018,Enterprise Service,Beijing,Angel Round,1886,no investor interest
2018,Sports,Jiangsu,No Funding,1705,pricing/cost issue
2018,Finance,Jiangsu,No Funding,1582,supervision
2018,Transportation,Guangdong,No Funding,1644,no market need
2018,E-Commerce,Guangdong,Angel Round,1521,no business model
2018,Social Media,Guangdong,Angel Round,1644,no market need
2018,Local Business,Zhejiang,Angel Round,1613,no business model
2018,Sports,Shanghai,Angel Round,1644,poor marketing
2018,E-Commerce,Zhejiang,Seed Round,1582,no market need
2018,Real Estate,Shanghai,Angel Round,1491,product mistimed
2018,Tool,Sichuan,No Funding,1644,no business model
2018,Education,Beijing,No Funding,1491,lose focus
2018,Enterprise Service,Beijing,Angel Round,1521,product mistimed
2018,Finance,Beijing,No Funding,1735,no business model
2018,E-Commerce,Beijing,Angel Round,1705,product mistimed
2018,Travel,Beijing,Angel Round,1582,no market need
2018,E-Commerce,Guangdong,Acquired,1552,burn out
2018,Enterprise Service,Beijing,Angel Round,1613,pivot gone bad
2018,Transportation,Beijing,Angel Round,1766,founder
2018,Hardware,Shanghai,Angel Round,1582,no investor interest
2018,Health,Beijing,Series A,1552,burn out
2018,Social Media,Shanghai,Series B,1644,no market need
2018,Tool,Shanghai,Angel Round,1521,legal challenges
2018,Hardware,Fujian,Angel Round,1582,ran out of cash
2018,Transportation,Sichuan,Series A,1521,product mistimed
2018,Travel,Beijing,No Funding,1825,pivot gone bad
2018,Local Business,Shanghai,Series C,1491,no market need
2018,Social Media,Beijing,No Funding,2496,no business model
2018,Sports,Beijing,Acquired,1735,no investor interest
2018,Transportation,Beijing,Series B,1856,no business model
2018,Social Media,Beijing,Angel Round,1825,no business model
2018,E-Commerce,Zhejiang,Angel Round,1582,no market need
2018,Hardware,Guangdong,Pre-A Round,1766,product mistimed
2018,Tool,Beijing,Pre-A Round,1644,no market need
2018,Health,Tianjin,Angel Round,1674,no business model
2018,Enterprise Service,Jiangsu,Angel Round,1735,no business model
2018,E-Commerce,Guangdong,No Funding,1825,pivot gone bad
2018,Finance,Guangdong,No Funding,1582,ran out of cash
2018,Social Media,Guangdong,Angel Round,1582,no investor interest
2018,Health,Shanghai,Angel Round,1825,no business model
2018,Entertainment,Beijing,No Funding,1582,no market need
2018,Transportation,Beijing,No Funding,1552,get outcompeted
2018,Tool,Overseas,Angel Round,1735,pivot gone bad
2018,Local Business,Zhejiang,Angel Round,1491,get outcompeted
2018,Real Estate,Shanghai,Series B,1766,ran out of cash
2018,Education,Guangdong,Angel Round,1613,lose focus
2018,Enterprise Service,Hubei,No Funding,695,lose focus
2018,Entertainment,Zhejiang,Series B,2339,ran out of cash
2018,Hardware,Zhejiang,Series B,1456,ran out of cash
2018,Health,Zhejiang,Seed Round,872,no business model
2018,Finance,Sichuan,Angel Round,1433,no business model
2018,Local Business,Beijing,Pre-A Round,944,get outcompeted
2018,Hardware,Shandong,Series A,1490,poor marketing
2018,Real Estate,Shanghai,Angel Round,1943,burn out
2018,Entertainment,Shanghai,Series A,1121,burn out
2018,Logistics,Guangdong,Pre-A Round,869,get outcompeted
2018,Health,Shanghai,Angel Round,1316,no business model
2018,Travel,Shanghai,Acquired,2374,product mistimed
2018,Education,Shanghai,Series A,1516,ran out of cash
2018,Education,Beijing,No Funding,3303,no business model
2018,Education,Beijing,Series A,3424,no business model
2018,E-Commerce,Jiangsu,Series C,3696,team/investors
2018,Education,Shanghai,Series A,1135,burn out
2018,Social Media,Beijing,Angel Round,1461,no business model
2018,Local Business,Beijing,Angel Round,779,get outcompeted
2018,E-Commerce,Beijing,Series A,1825,get outcompeted
2018,Sports,Guangdong,Series C,1275,product mistimed
2018,Real Estate,Zhejiang,Angel Round,902,supervision
2018,Health,Beijing,Strategic,2052,ran out of cash
2018,Enterprise Service,Shanghai,Angel Round,1414,product mistimed
2018,Finance,Shanghai,Strategic,1351,supervision
2018,E-Commerce,Beijing,Seed Round,735,ran out of cash
2018,Local Business,Beijing,Series A,1189,get outcompeted
2018,Finance,Beijing,Angel Round,1127,lose focus
2018,Finance,Beijing,Series B+,1571,ran out of cash
2018,Finance,Shanghai,Series B,1781,supervision
2018,Finance,Shanghai,Strategic,1781,supervision
2018,Finance,Shanghai,Series A,1478,supervision
2018,Finance,Beijing,Series C,1781,supervision
2018,Finance,Liaoning,Series A+,1569,supervision
2018,Finance,Shanghai,Strategic,1382,legal challenges
2018,Finance,Guangdong,Series B,1411,supervision
2018,Finance,Beijing,Series A,2111,supervision
2018,Finance,Zhejiang,Series A,1288,supervision
2018,Finance,Shanghai,Pre-A Round,1319,supervision
2018,Finance,Zhejiang,Series A,1318,supervision
2018,Finance,Shanghai,Series A,1897,supervision
